공연명,연도,월,가격,예매처
엘리자벳,2022,11,151000,인터파크
엘리자벳,2022,12,91000,예스24
웨스트 사이드 스토리,2022,12,71000,인터파크
물랑루즈,2022,12,64000,인터파크
용의자 X의 헌신,2023,1,20800,티켓링크
영웅,2023,1,43000,인터파크
베토벤,2023,1,113000,인터파크
용의자 X의 헌신,2023,1,26900,티켓링크
지저스 크라이스트 수퍼스타,2023,2,42000,티켓링크
지저스 크라이스트 수퍼스타,2023,2,48000,인터파크
해적,2023,3,30800,티켓링크
미드나잇 : 앤틀러스,2023,3,23000,인터파크
데스노트,2023,4,57000,샤롯데씨어터
식스 더 뮤지컬,2023,4,43000,인터파크
데스노트,2023,4,57000,인터파크
호프 : 읽히지 않은 책과 읽히지 않은 인생,2023,5,26400,위메프
광염 소나타,2023,5,30800,티켓링크
광염 소나타,2023,5,31800,인터파크
광염 소나타,2023,5,31800,인터파크
광염 소나타,2023,5,31800,인터파크
광염 소나타,2023,5,31800,티켓링크
나르치스와 골드문트,2023,6,27400,예스24
파리넬리,2023,7,9000,인터파크
아르토 고흐,2023,7,26400,예스24
아르토 고흐,2023,7,27400,예스24
더 픽션,2023,7,23000,예스24
더 픽션,2023,7,22000,예스24
더 픽션,2023,7,24000,인터파크
와일드 그레이,2023,7,31800,티켓링크
트레이스 유,2023,7,36000,티켓링크
더 픽션,2023,7,22000,예스24
더 픽션,2023,7,22000,예스24
더 픽션,2023,8,22000,예스24
더 픽션,2023,8,23000,예스24
레베카,2023,9,66000,인터파크
곤 투모로우,2023,9,31350,위메프
더 픽션,2023,9,23000,예스24
22년 2개월,2023,9,22000,인터파크
후크,2023,9,26400,위메프
22년 2개월,2023,9,20000,위메프
22년 2개월,2023,10,57000,티켓링크
구텐버그,2023,10,27500,예스24
비더슈탄트,2023,11,27800,인터파크
22년 2개월,2023,11,44000,티켓링크
테레즈 라캥,2023,11,12000,인터파크
비더슈탄트,2023,11,15800,인터파크
비더슈탄트,2023,11,22800,예스24
비더슈탄트,2023,11,49500,예스24
비더슈탄트,2023,11,32800,인터파크
빨래,2023,12,22000,인터파크
아가사,2023,12,30500,티켓링크
홀연했던 사나이,2023,12,23500,위메프
드라이 플라워,2023,12,24000,예스24
렛미플라이,2024,1,29500,인터파크
메리셸리,2024,1,38500,티켓링크
결투,2024,1,35200,예스24
난쟁이들,2024,1,27500,예스24
알앤제이,2024,2,43000,멜론
더 라스트맨,2024,3,31800,티켓링크
광염 소나타,2024,3,48200,예스24
미스트,2024,3,39500,티켓링크
알앤제이,2024,3,43000,멜론
알앤제이,2024,3,43000,인터파크
엠. 버터플라이,2024,3,31500,연극열전
더 라스트맨,2024,3,34000,티켓링크
광염 소나타,2024,3,29500,예스24
미오 프라텔로,2024,4,20000,중계
광염 소나타,2024,4,34100,예스24
광염 소나타,2024,4,43700,예스24
광염 소나타,2024,4,29500,예스24
광염 소나타,2024,4,29500,예스24
광염 소나타,2024,4,29500,예스24
브론테,2024,5,18000,인터파크
광염 소나타,2024,5,19900,위메프
디아길레프,2024,5,29000,인터파크
광염 소나타,2024,5,45700,예스24
광염 소나타,2024,5,19900,위메프
미스트,2024,5,34000,티켓링크
광염 소나타,2024,5,35000,예스24
광염 소나타,2024,5,48200,예스24
난설,2024,5,18400,위메프
브론테,2024,5,26000,인터파크
쇄골에 천사가 잠들고 있다,2024,5,36000,예스24
광염 소나타,2024,5,32500,예스24
광염 소나타,2024,6,39100,예스24
광염 소나타,2024,6,59750,예스24
등등곡,2024,6,32000,인터파크
베어 더 뮤지컬,2024,6,43700,예스24
등등곡,2024,7,48500,예스24
등등곡,2024,7,18400,위메프
베어 더 뮤지컬,2024,7,42700,예스24
등등곡,2024,7,21500,예스24
사의찬미,2024,7,40750,예스24
베어 더 뮤지컬,2024,7,48200,인터파크
등등곡,2024,8,37000,인터파크
베어 더 뮤지컬,2024,8,45700,인터파크
등등곡,2024,8,37000,인터파크
프랑켄슈타인,2024,8,66000,인터파크
